MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,MoSold,SaleType,SaleCondition,SalePrice,TotalSF,Age,RemodAge,TotalBath,TotalPorchSF
20,191004.99478714162,70.0,11200,164754.81837837838,180183.74675819985,176938.0475285171,136793.13513513515,184495.49206349207,175985.4779614325,5,5,218876.93356643355,163077.45045045044,167661.5652173913,156958.24311926606,0.0,3,3,149805.714511041,3,3,165652.29590766,146889.24812030076,906,134,5,1,186810.63745318353,1040,3,1,3,5,183429.14705882352,0,134091.16279069768,1965.0,142156.42314049587,1,3,2,173401.8366219416,175202.21953255427,129500,2080,43,43,2.0,0
60,191004.99478714162,85.0,11924,206101.6652892562,180183.74675819985,176938.0475285171,316270.6233766234,184495.49206349207,210051.76404494382,9,5,218876.93356643355,150655.07698546007,161328.94736842104,265583.625,286.0,5,3,225230.44204018547,5,3,165652.29590766,235413.72009569377,998,177,5,1,186810.63745318353,2324,4,1,5,11,183429.14705882352,4,254751.73863636365,2005.0,240052.6903409091,3,3,7,274945.41803278687,272291.752,345000,3499,1,0,4.0,168
20,191004.99478714162,71.0,12968,239833.36585365853,180183.74675819985,176938.0475285171,136793.13513513515,184495.49206349207,175985.4779614325,5,6,218876.93356643355,163077.45045045044,168112.38732394367,156958.24311926606,0.0,3,3,149805.714511041,3,3,165652.29590766,161573.06818181818,737,175,3,1,186810.63745318353,912,2,1,3,4,183429.14705882352,0,134091.16279069768,1962.0,142156.42314049587,1,3,9,173401.8366219416,175202.21953255427,144000,1824,46,46,2.0,316
20,191004.99478714162,91.0,10652,206101.6652892562,180183.74675819985,176938.0475285171,197965.77333333335,184495.49206349207,175985.4779614325,7,5,171483.95617879054,213732.90097087377,214432.46031746033,265583.625,306.0,4,3,225230.44204018547,4,3,206643.42081447964,170670.57674418605,0,1494,5,1,186810.63745318353,1494,3,1,4,7,183429.14705882352,4,202892.65632183908,2006.0,202068.86966824645,3,3,8,274945.41803278687,272291.752,279500,2988,1,0,2.0,193
20,191004.99478714162,73.0,10920,206101.6652892562,180183.74675819985,181623.4258555133,145847.08,184495.49206349207,175985.4779614325,6,5,218876.93356643355,149422.17727272728,149803.17289719626,204691.87191011236,212.0,3,3,149805.714511041,3,3,165652.29590766,149493.6554054054,733,520,3,1,186810.63745318353,1253,2,1,3,5,183429.14705882352,2,202892.65632183908,1960.0,202068.86966824645,1,3,5,173401.8366219416,175202.21953255427,157000,2506,48,48,2.5,389
45,126316.83027522935,51.0,6120,164754.81837837838,180183.74675819985,181623.4258555133,124834.05172413793,184495.49206349207,180921.19574454066,7,8,171483.95617879054,149841.64563106795,148386.0659898477,156958.24311926606,0.0,3,3,132291.07534246575,3,3,165652.29590766,170670.57674418605,0,832,5,1,122196.89361702128,854,2,1,3,5,183429.14705882352,0,134091.16279069768,1991.0,142156.42314049587,2,3,7,173401.8366219416,175202.21953255427,132000,1686,78,6,1.0,160
20,191004.99478714162,73.0,11241,206101.6652892562,180183.74675819985,223854.6170212766,145847.08,184495.49206349207,175985.4779614325,6,7,171483.95617879054,149841.64563106795,148386.0659898477,204691.87191011236,180.0,3,3,149805.714511041,3,3,165652.29590766,161573.06818181818,578,426,5,1,186810.63745318353,1004,2,1,3,5,183429.14705882352,3,202892.65632183908,1970.0,240052.6903409091,2,3,3,173401.8366219416,175202.21953255427,149000,2008,40,40,2.0,0
90,191004.99478714162,72.0,10791,164754.81837837838,180183.74675819985,176938.0475285171,136793.13513513515,184495.49206349207,175985.4779614325,4,5,171483.95617879054,149422.17727272728,149803.17289719626,156958.24311926606,0.0,3,3,107365.74413017371,0,0,107938.34210526316,105652.8918918919,0,0,3,1,186810.63745318353,1296,2,2,3,6,183429.14705882352,0,180921.19589041092,1967.0,142156.42314049587,2,3,10,173401.8366219416,175202.21953255427,90000,1296,39,39,2.0,0
20,191004.99478714162,66.0,13695,164754.81837837838,180183.74675819985,176938.0475285171,186555.7966101695,180921.19589040696,175985.4779614325,5,5,171483.95617879054,213732.90097087377,214432.46031746033,156958.24311926606,0.0,3,3,225230.44204018547,3,3,165652.29590766,235413.72009569377,646,468,5,1,186810.63745318353,1114,3,1,4,6,183429.14705882352,0,134091.16279069768,2004.0,142156.42314049587,2,3,6,173401.8366219416,175202.21953255427,159000,2228,4,4,2.5,102
20,191004.99478714162,70.0,7560,164754.81837837838,180183.74675819985,176938.0475285171,145847.08,184495.49206349207,175985.4779614325,5,6,218876.93356643355,194573.0,168112.38732394367,156958.24311926606,0.0,3,3,149805.714511041,3,3,165652.29590766,151852.7027027027,504,525,3,1,186810.63745318353,1339,3,1,3,6,146385.48387096773,0,202892.65632183908,1958.0,142156.42314049587,1,3,5,143973.2558139535,146526.62376237623,139000,2368,51,44,1.0,0
60,191004.99478714162,101.0,14215,206101.6652892562,180183.74675819985,181623.4258555133,316270.6233766234,184495.49206349207,210051.76404494382,8,5,171483.95617879054,213732.90097087377,214432.46031746033,204691.87191011236,380.0,4,3,225230.44204018547,5,3,206643.42081447964,170670.57674418605,0,1158,5,1,186810.63745318353,2376,4,1,4,9,183429.14705882352,4,254751.73863636365,2005.0,202068.86966824645,3,3,11,274945.41803278687,272291.752,325300,3534,1,0,3.5,394
45,126316.83027522935,57.0,7449,164754.81837837838,143104.07936507938,176938.0475285171,100123.78378378379,184495.49206349207,180921.19574454066,7,7,171483.95617879054,149841.64563106795,148386.0659898477,156958.24311926606,0.0,3,3,225230.44204018547,3,3,165652.29590766,170670.57674418605,0,637,5,1,107675.44444983017,1108,3,1,4,6,183429.14705882352,4,202892.65632183908,1930.0,142156.42314049587,1,3,6,173401.8366219416,175202.21953255427,139400,1745,77,57,1.0,205
20,191004.99478714162,75.0,9742,164754.81837837838,180183.74675819985,176938.0475285171,197965.77333333335,184495.49206349207,175985.4779614325,8,5,218876.93356643355,213732.90097087377,214432.46031746033,204691.87191011236,281.0,4,3,225230.44204018547,4,3,165652.29590766,170670.57674418605,0,1777,5,1,186810.63745318353,1795,3,1,4,7,183429.14705882352,4,202892.65632183908,2002.0,202068.86966824645,2,3,9,173401.8366219416,175202.21953255427,230000,3572,6,6,2.0,330
120,126316.83027522935,44.0,4224,164754.81837837838,180183.74675819985,176938.0475285171,180917.45761538335,184495.49206349207,175985.4779614325,5,7,171483.95617879054,231690.65573770492,230093.83333333334,156958.24311926606,0.0,3,3,225230.44204018547,4,3,165652.29590766,235413.72009569377,840,200,3,1,186810.63745318353,1060,3,1,3,6,183429.14705882352,3,202892.65632183908,1976.0,142156.42314049587,2,3,6,173401.8366219416,175202.21953255427,129900,2100,31,31,2.0,210
20,191004.99478714162,71.0,8246,206101.6652892562,180183.74675819985,176938.0475285171,136793.13513513515,184495.49206349207,175985.4779614325,5,8,171483.95617879054,175942.37962962964,168112.38732394367,156958.24311926606,0.0,3,4,149805.714511041,3,3,192789.65789473685,146889.24812030076,188,204,5,1,186810.63745318353,1060,3,1,4,6,183429.14705882352,3,202892.65632183908,1968.0,142156.42314049587,1,3,5,173401.8366219416,175202.21953255427,154000,2120,42,9,2.0,496
20,191004.99478714162,110.0,14230,164754.81837837838,180183.74675819985,181623.4258555133,316270.6233766234,184495.49206349207,175985.4779614325,8,5,171483.95617879054,213732.90097087377,214432.46031746033,265583.625,640.0,4,3,225230.44204018547,4,3,165652.29590766,170670.57674418605,0,1566,5,1,186810.63745318353,1600,3,1,4,7,183429.14705882352,4,202892.65632183908,2007.0,202068.86966824645,3,3,7,173401.8366219416,175202.21953255427,256300,3166,2,2,2.0,56
20,191004.99478714162,60.0,7200,164754.81837837838,180183.74675819985,181623.4258555133,145847.08,184495.49206349207,175985.4779614325,5,7,171483.95617879054,149841.64563106795,148386.0659898477,156958.24311926606,0.0,3,3,149805.714511041,3,3,192789.65789473685,149493.6554054054,234,180,3,1,186810.63745318353,900,3,1,4,5,183429.14705882352,0,134091.16279069768,2005.0,142156.42314049587,2,3,5,173401.8366219416,175202.21953255427,134800,1800,59,10,1.5,254
20,191004.99478714162,98.0,11478,164754.81837837838,180183.74675819985,176938.0475285171,316270.6233766234,184495.49206349207,175985.4779614325,8,5,171483.95617879054,213732.90097087377,214432.46031746033,265583.625,200.0,4,3,225230.44204018547,5,3,165652.29590766,235413.72009569377,1218,486,5,1,186810.63745318353,1704,3,1,4,7,183429.14705882352,4,202892.65632183908,2008.0,202068.86966824645,3,3,5,173401.8366219416,175202.21953255427,306000,3408,3,2,3.0,50
20,191004.99478714162,47.0,16321,206101.6652892562,180183.74675819985,223854.6170212766,145847.08,184495.49206349207,175985.4779614325,5,6,171483.95617879054,149422.17727272728,149803.17289719626,156958.24311926606,0.0,3,3,149805.714511041,3,3,257689.80597014926,149493.6554054054,1277,207,3,1,186810.63745318353,1600,2,1,3,6,183429.14705882352,4,202892.65632183908,1957.0,202068.86966824645,1,3,12,173401.8366219416,175202.21953255427,207500,3084,49,9,2.0,546
30,126316.83027522935,60.0,6324,206101.6652892562,180183.74675819985,176938.0475285171,124834.05172413793,142475.4814814815,175985.4779614325,4,6,171483.95617879054,149422.17727272728,149803.17289719626,156958.24311926606,0.0,3,3,132291.07534246575,3,3,165652.29590766,170670.57674418605,0,520,2,0,186810.63745318353,520,1,1,2,4,183429.14705882352,0,134091.16279069768,1920.0,142156.42314049587,1,2,5,173401.8366219416,175202.21953255427,68500,1040,81,58,1.0,136
70,180921.1958904106,50.0,8500,164754.81837837838,180183.74675819985,176938.0475285171,100123.78378378379,142475.4814814815,210051.76404494382,4,4,180921.19589040795,194573.0,195817.99913930017,156958.24311926606,0.0,3,2,132291.07534246575,3,3,165652.29590766,170670.57674418605,0,649,3,0,186810.63745318353,1317,3,1,3,6,183429.14705882352,0,134091.16279069768,1920.0,142156.42314049587,1,3,7,173401.8366219416,175202.21953255427,40000,1966,88,58,1.0,226
20,191004.99478714162,71.0,8544,206101.6652892562,180183.74675819985,223854.6170212766,136793.13513513515,184495.49206349207,175985.4779614325,5,6,171483.95617879054,163077.45045045044,167661.5652173913,156958.24311926606,0.0,3,3,149805.714511041,3,3,165652.29590766,170670.57674418605,0,1228,4,1,186810.63745318353,1228,3,1,4,6,183429.14705882352,0,202892.65632183908,1966.0,142156.42314049587,1,3,6,173401.8366219416,175202.21953255427,149350,2456,42,2,1.5,65
20,191004.99478714162,85.0,11049,164754.81837837838,180183.74675819985,181623.4258555133,197965.77333333335,184495.49206349207,175985.4779614325,8,5,171483.95617879054,213732.90097087377,214432.46031746033,156958.24311926606,0.0,4,3,225230.44204018547,5,3,206643.42081447964,170670.57674418605,0,1234,5,1,186810.63745318353,1234,3,1,4,7,183429.14705882352,0,202892.65632183908,2007.0,202068.86966824645,2,3,1,173401.8366219416,175202.21953255427,179900,2468,1,1,2.0,30
20,191004.99478714162,70.0,10552,206101.6652892562,180183.74675819985,176938.0475285171,145847.08,184495.49206349207,175985.4779614325,5,5,218876.93356643355,194573.0,195817.99913930017,156958.24311926606,0.0,3,3,149805.714511041,3,3,165652.29590766,146889.24812030076,1018,380,4,1,186810.63745318353,1700,4,1,4,6,183429.14705882352,4,202892.65632183908,1959.0,202068.86966824645,2,3,4,173401.8366219416,175202.21953255427,165500,3098,51,51,2.0,38
120,191004.99478714162,60.0,7313,164754.81837837838,180183.74675819985,176938.0475285171,316270.6233766234,184495.49206349207,175985.4779614325,9,5,218876.93356643355,149422.17727272728,149803.17289719626,204691.87191011236,246.0,5,3,225230.44204018547,5,3,165652.29590766,235413.72009569377,1153,408,5,1,186810.63745318353,1561,2,1,5,6,183429.14705882352,4,202892.65632183908,2005.0,240052.6903409091,2,3,8,173401.8366219416,175202.21953255427,277500,3122,2,2,3.0,250
60,191004.99478714162,108.0,13418,164754.81837837838,180183.74675819985,176938.0475285171,316270.6233766234,184495.49206349207,210051.76404494382,8,5,171483.95617879054,213732.90097087377,214432.46031746033,265583.625,132.0,4,3,225230.44204018547,5,3,206643.42081447964,170670.57674418605,0,1117,5,1,186810.63745318353,2452,4,1,4,9,183429.14705882352,4,254751.73863636365,2004.0,240052.6903409091,3,3,9,173401.8366219416,175202.21953255427,309000,3569,2,1,3.5,145
20,191004.99478714162,112.0,10859,164754.81837837838,180183.74675819985,181623.4258555133,197965.77333333335,184495.49206349207,175985.4779614325,5,5,171483.95617879054,213732.90097087377,214432.46031746033,156958.24311926606,0.0,3,3,225230.44204018547,4,3,165652.29590766,170670.57674418605,0,1097,5,1,186810.63745318353,1097,3,1,3,6,183429.14705882352,0,202892.65632183908,1995.0,142156.42314049587,2,3,6,173401.8366219416,175202.21953255427,145000,2194,15,14,1.5,456
20,191004.99478714162,74.0,8532,164754.81837837838,180183.74675819985,176938.0475285171,145847.08,184495.49206349207,175985.4779614325,5,6,218876.93356643355,149841.64563106795,148386.0659898477,204691.87191011236,650.0,3,3,149805.714511041,3,3,165652.29590766,146889.24812030076,1213,84,4,1,186810.63745318353,1297,3,1,3,5,183429.14705882352,3,202892.65632183908,1954.0,240052.6903409091,2,3,10,173401.8366219416,175202.21953255427,153000,2594,55,19,1.5,0
20,191004.99478714162,68.0,7922,164754.81837837838,180183.74675819985,176938.0475285171,145847.08,184495.49206349207,175985.4779614325,5,7,171483.95617879054,213732.90097087377,214432.46031746033,156958.24311926606,0.0,3,4,149805.714511041,3,3,165652.29590766,235413.72009569377,731,326,3,1,186810.63745318353,1057,3,1,4,5,183429.14705882352,0,134091.16279069768,1953.0,142156.42314049587,1,3,1,173401.8366219416,146526.62376237623,109000,2114,57,3,2.0,52
90,191004.99478714162,65.0,6040,164754.81837837838,180183.74675819985,176938.0475285171,128219.7,184495.49206349207,175985.4779614325,4,5,171483.95617879054,144153.37294520548,168112.38732394367,156958.24311926606,0.0,3,3,225230.44204018547,0,0,107938.34210526316,105652.8918918919,0,0,3,0,180921.19589041095,1152,2,2,2,6,183429.14705882352,0,103317.28395061729,0.0,103317.28395061729,0,0,6,173401.8366219416,180921.19589041095,82000,1152,53,53,2.0,0
20,191004.99478714162,84.0,8658,164754.81837837838,180183.74675819985,176938.0475285171,145847.08,184495.49206349207,175985.4779614325,6,5,171483.95617879054,149841.64563106795,148386.0659898477,204691.87191011236,101.0,3,3,149805.714511041,3,3,165652.29590766,146889.24812030076,643,445,5,1,186810.63745318353,1324,3,1,3,6,183429.14705882352,3,202892.65632183908,1965.0,202068.86966824645,2,3,12,173401.8366219416,146526.62376237623,160000,2412,41,41,2.0,138
20,191004.99478714162,115.0,16905,164754.81837837838,180183.74675819985,176938.0475285171,242247.44736842104,184495.49206349207,175985.4779614325,5,6,171483.95617879054,213732.90097087377,214432.46031746033,156958.24311926606,0.0,3,4,149805.714511041,3,3,257689.80597014926,149493.6554054054,967,383,4,1,186810.63745318353,1328,2,1,3,5,183429.14705882352,4,202892.65632183908,1959.0,202068.86966824645,1,3,7,173401.8366219416,175202.21953255427,170000,2678,48,48,2.0,104
85,191004.99478714162,66.5,9180,206101.6652892562,180183.74675819985,223854.6170212766,186555.7966101695,184495.49206349207,135074.48648648648,5,7,171483.95617879054,163077.45045045044,167661.5652173913,156958.24311926606,0.0,3,3,149805.714511041,4,3,206643.42081447964,161573.06818181818,747,0,4,1,186810.63745318353,884,2,1,4,5,183429.14705882352,0,202892.65632183908,1983.0,202068.86966824645,2,3,12,173401.8366219416,175202.21953255427,144000,1724,24,24,2.0,240
20,191004.99478714162,70.0,9200,206101.6652892562,180183.74675819985,223854.6170212766,197965.77333333335,184495.49206349207,175985.4779614325,5,6,218876.93356643355,213732.90097087377,214432.46031746033,156958.24311926606,0.0,3,3,149805.714511041,4,3,206643.42081447964,151852.7027027027,280,167,3,1,186810.63745318353,938,3,1,3,5,183429.14705882352,0,134091.16279069768,1977.0,142156.42314049587,1,3,7,173401.8366219416,175202.21953255427,130250,1876,33,28,2.0,145
20,191004.99478714162,70.0,7945,164754.81837837838,180183.74675819985,176938.0475285171,145847.08,184495.49206349207,175985.4779614325,5,6,171483.95617879054,194573.0,148386.0659898477,156958.24311926606,0.0,3,3,149805.714511041,3,3,165652.29590766,161573.06818181818,179,465,5,1,122196.89361702128,1150,3,1,3,6,183429.14705882352,0,202892.65632183908,1959.0,202068.86966824645,1,3,5,173401.8366219416,175202.21953255427,141000,2300,47,47,2.0,0
120,191004.99478714162,61.0,7658,164754.81837837838,180183.74675819985,176938.0475285171,316270.6233766234,184495.49206349207,175985.4779614325,9,5,218876.93356643355,149422.17727272728,149803.17289719626,204691.87191011236,412.0,5,3,225230.44204018547,5,3,165652.29590766,235413.72009569377,456,1296,5,1,186810.63745318353,1752,2,1,5,6,183429.14705882352,4,202892.65632183908,2005.0,202068.86966824645,2,3,2,173401.8366219416,175202.21953255427,319900,3504,5,5,3.0,278
50,191004.99478714162,48.0,12822,206101.6652892562,180183.74675819985,223854.6170212766,156270.1224489796,184495.49206349207,143116.74025974027,7,5,171483.95617879054,213732.90097087377,214432.46031746033,156958.24311926606,0.0,4,3,225230.44204018547,5,3,165652.29590766,235413.72009569377,1351,83,5,1,186810.63745318353,2149,1,1,4,6,183429.14705882352,5,202892.65632183908,2003.0,202068.86966824645,2,3,8,173401.8366219416,146526.62376237623,239686,3583,6,6,2.5,409
20,214014.06153846154,84.0,11096,164754.81837837838,180183.74675819985,176938.0475285171,225379.83720930232,184495.49206349207,175985.4779614325,8,5,171483.95617879054,213732.90097087377,214432.46031746033,156958.24311926606,0.0,4,3,225230.44204018547,4,3,206643.42081447964,235413.72009569377,24,1632,5,1,186810.63745318353,1656,3,1,4,7,183429.14705882352,0,202892.65632183908,2006.0,202068.86966824645,3,3,7,173401.8366219416,175202.21953255427,249700,3312,1,1,2.0,146
190,126316.83027522935,33.0,4456,164754.81837837838,180183.74675819985,176938.0475285171,128225.30088495575,184495.49206349207,210051.76404494382,4,5,171483.95617879054,149422.17727272728,149803.17289719626,156958.24311926606,0.0,3,3,132291.07534246575,3,3,165652.29590766,170670.57674418605,0,736,4,1,186810.63745318353,1452,2,3,3,8,183429.14705882352,0,103317.28395061729,0.0,103317.28395061729,0,0,6,274945.41803278687,272291.752,113000,2188,89,1,2.0,102
20,191004.99478714162,66.0,7742,164754.81837837838,180183.74675819985,176938.0475285171,136793.13513513515,184495.49206349207,175985.4779614325,5,7,171483.95617879054,163077.45045045044,167661.5652173913,156958.24311926606,0.0,3,3,149805.714511041,3,3,165652.29590766,149493.6554054054,763,192,5,1,186810.63745318353,955,3,1,3,6,183429.14705882352,0,202892.65632183908,1966.0,142156.42314049587,1,3,1,173401.8366219416,175202.21953255427,127000,1910,41,41,2.0,0
60,191004.99478714162,65.0,13869,239833.36585365853,180183.74675819985,181623.4258555133,192854.50632911394,184495.49206349207,210051.76404494382,6,6,171483.95617879054,213732.90097087377,214432.46031746033,156958.24311926606,0.0,3,3,225230.44204018547,4,3,206643.42081447964,235413.72009569377,182,612,4,1,186810.63745318353,1470,3,1,3,6,183429.14705882352,0,202892.65632183908,1997.0,240052.6903409091,2,3,7,173401.8366219416,175202.21953255427,177000,2264,10,10,2.5,75
50,126316.83027522935,52.0,6240,164754.81837837838,180183.74675819985,176938.0475285171,124834.05172413793,184495.49206349207,143116.74025974027,6,6,171483.95617879054,149841.64563106795,148386.0659898477,156958.24311926606,0.0,3,3,225230.44204018547,3,3,165652.29590766,170670.57674418605,0,816,3,1,186810.63745318353,1176,3,1,3,6,183429.14705882352,4,134091.16279069768,1985.0,142156.42314049587,2,3,9,173401.8366219416,175202.21953255427,114500,1632,72,56,1.0,112
90,126316.83027522935,110.0,8472,239833.36585365853,143104.07936507938,181623.4258555133,100123.78378378379,180921.19589041095,175985.4779614325,5,5,171483.95617879054,149841.64563106795,148386.0659898477,156958.24311926606,0.0,2,3,149805.714511041,4,3,257689.80597014926,151852.7027027027,104,0,3,0,186810.63745318353,816,2,1,3,5,183429.14705882352,0,180921.19589041092,1963.0,142156.42314049587,2,3,5,173401.8366219416,175202.21953255427,110000,1632,47,47,2.0,106
20,191004.99478714162,68.0,50271,206101.6652892562,203661.11111111112,176938.0475285171,180921.19589041636,184495.49206349207,175985.4779614325,9,5,171483.95617879054,150655.07698546007,161328.94736842104,156958.24311926606,0.0,4,3,149805.714511041,5,3,257689.80597014926,235413.72009569377,1810,32,4,1,186810.63745318353,1842,0,1,4,5,183429.14705882352,4,202892.65632183908,1981.0,240052.6903409091,3,3,11,173401.8366219416,175202.21953255427,385000,3684,25,19,2.5,929
80,191004.99478714162,60.0,7134,164754.81837837838,143104.07936507938,176938.0475285171,145847.08,184495.49206349207,166703.38461538462,5,5,171483.95617879054,149422.17727272728,149803.17289719626,156958.24311926606,0.0,3,3,149805.714511041,3,3,165652.29590766,161573.06818181818,384,0,3,1,186810.63745318353,1360,3,1,3,6,146385.48387096773,3,134091.16279069768,1962.0,142156.42314049587,2,3,2,173401.8366219416,175202.21953255427,130000,1744,52,52,1.0,50
20,191004.99478714162,100.0,10175,206101.6652892562,180183.74675819985,176938.0475285171,145847.08,184495.49206349207,175985.4779614325,6,5,171483.95617879054,163077.45045045044,168112.38732394367,204691.87191011236,272.0,3,3,149805.714511041,3,3,165652.29590766,149493.6554054054,490,935,4,1,186810.63745318353,1425,3,1,3,7,183429.14705882352,4,202892.65632183908,1964.0,202068.86966824645,2,3,7,173401.8366219416,175202.21953255427,180500,2850,44,44,2.0,407
160,214014.06153846154,24.0,2645,164754.81837837838,180183.74675819985,176938.0475285171,225379.83720930232,184495.49206349207,210051.76404494382,8,5,171483.95617879054,149422.17727272728,149803.17289719626,204691.87191011236,456.0,4,3,225230.44204018547,4,3,165652.29590766,235413.72009569377,649,321,5,1,186810.63745318353,1739,3,1,4,7,183429.14705882352,0,202892.65632183908,1999.0,240052.6903409091,2,3,8,173401.8366219416,146526.62376237623,172500,2709,10,9,3.5,115
